row,K,python,r,abs_diff
train_SR,5,0.2862967768086374,0.286296776812515,3.877564935805822e-12
train_SR,6,0.5326044466930332,0.532604446721739,2.8705815502405585e-11
train_SR,7,0.5391808269182938,0.539180826918647,3.531619441332623e-13
train_SR,8,0.5803844145222872,0.580384414521301,9.862111127745266e-13
train_SR,9,0.6044115208653943,0.604411520865399,4.6629367034256575e-15
train_SR,10,0.6097362340085826,0.609736234007951,6.316058787092516e-13
train_SR,11,0.6321048208718022,0.632104820887812,1.6009749082002145e-11
train_SR,12,0.6426166283926142,0.642616628393886,1.2717604747081168e-12
train_SR,13,0.6500363156463899,0.653862507181259,0.0038261915348691833
train_SR,14,0.6605744620869038,0.660574462092081,5.17719200843203e-12
train_SR,15,0.6833628324737715,0.683411351439172,4.8518965400479175e-05
train_SR,16,0.6869669505640231,0.686966950566628,2.6049162826780048e-12
train_SR,17,0.679957023414021,0.679957023418112,4.091060823441239e-12
train_SR,18,0.7123142824841994,0.712314282486742,2.5426327709965335e-12
train_SR,19,0.7168955827584137,0.716895582758632,2.1826984664130578e-13
train_SR,20,0.7345617830503217,0.734561783050335,1.3322676295501878e-14
train_SR,21,0.7494400404789309,0.749440040478882,4.884981308350689e-14
train_SR,22,0.7745124633372654,0.774512463337575,3.0953017926549364e-13
train_SR,23,0.776822987306444,0.776822987306542,9.803269307440132e-14
train_SR,24,0.811208596671691,0.811208596672855,1.1640688413194766e-12
train_SR,25,0.8105975323108109,0.810597532310914,1.0313971898767704e-13
train_SR,26,0.811353545779898,0.811353545778077,1.8210988272926443e-12
train_SR,27,0.8078003518974429,0.807800351897348,9.492406860545088e-14
train_SR,28,0.8079059184498407,0.807905918449714,1.2667644710973036e-13
train_SR,29,0.8113657752569107,0.811365775253883,3.0276892104552644e-12
train_SR,30,0.8146329159516801,0.814632915952118,4.3787196091216174e-13
train_SR,31,0.8424585930128337,0.842458593012909,7.538414337204813e-14
train_SR,32,0.8187208734401175,0.818720873438626,1.4914736112814353e-12
train_SR,33,0.8622610138072319,0.862261013809551,2.3191448761394895e-12
train_SR,34,0.8499634275215255,0.849963427522486,9.60453938603223e-13
train_SR,35,0.8549478723075093,0.854947872308871,1.3616885397027545e-12
train_SR,36,0.8577702794936773,0.857770279485925,7.75235431405008e-12
train_SR,37,0.8386654123364397,0.838665412332,4.4396708531735385e-12
train_SR,38,0.8419532410813366,0.841953241078945,2.3916424396475122e-12
train_SR,39,0.843206140814977,0.843206140810769,4.208078330236731e-12
train_SR,40,0.8757420368970698,0.875742036891588,5.4817261840867104e-12
train_SR,41,0.8766474370822344,0.876647437078556,3.678390925188069e-12
train_SR,42,0.8732245152287411,0.873224515224535,4.2060799287924056e-12
train_SR,43,0.8908774177654136,0.890877417766654,1.2403411631112249e-12
train_SR,44,0.8775650459650238,0.877565045963135,1.888822431794779e-12
train_SR,45,0.8648297894006987,0.864829789398051,2.6476598691260733e-12
train_SR,46,0.872275096892471,0.872275096888362,4.108935414137704e-12
train_SR,47,0.8885943225030697,0.888594322499724,3.3456570847079092e-12
train_SR,48,0.8789060999148789,0.878906099916218,1.3391510123028638e-12
train_SR,49,0.8895307934405426,0.889530793438748,1.7946755193065655e-12
train_SR,50,0.890224926691565,0.890224926691581,1.5987211554602254e-14
valid_SR,5,0.5981347086931562,0.598134708695655,2.49877896152384e-12
valid_SR,6,0.6138150534138365,0.613815053412048,1.7884582703686647e-12
valid_SR,7,0.6673156357592687,0.667315635758565,7.036593530074242e-13
valid_SR,8,0.6816866583904249,0.681686658388821,1.6038281813735011e-12
valid_SR,9,0.7016985824178019,0.701698582411239,6.56297238776915e-12
valid_SR,10,0.8299348393537422,0.829934839355662,1.9197976541818207e-12
valid_SR,11,0.8440991628482963,0.844099162848155,1.4133139103478243e-13
valid_SR,12,0.8670397133188206,0.867039713313462,5.3586024506557806e-12
valid_SR,13,0.8723445830669879,0.872344583059687,7.300937632237492e-12
valid_SR,14,0.8793329694891034,0.879332969488491,6.123990203832363e-13
valid_SR,15,0.9053533351142524,0.905808012496446,0.0004546773821936245
valid_SR,16,0.9318554977933574,0.931855497792797,5.60440582830779e-13
valid_SR,17,0.9482996585310024,0.948299658531761,7.586153927263695e-13
valid_SR,18,0.9720686520580376,0.972068652057837,2.0061730054976579e-13
valid_SR,19,0.9804812917752878,0.980481291773633,1.6547874182037958e-12
valid_SR,20,0.9947889537611896,0.994788953761597,4.0745185003743245e-13
valid_SR,21,1.0019248462793595,1.00192484627739,1.9695356456850277e-12
valid_SR,22,1.006355791905921,1.00635579190545,4.709566070459914e-13
valid_SR,23,1.0090936831367106,1.00909368313613,5.806466418789569e-13
valid_SR,24,1.0184473855460072,1.01844738554565,3.5726976932437537e-13
valid_SR,25,1.0269256093814405,1.02692560938047,9.705569681273118e-13
valid_SR,26,1.029438719961642,1.02943871996856,6.9180217110442754e-12
valid_SR,27,1.0301342952992647,1.03013429529863,6.346034808757395e-13
valid_SR,28,1.0322613308887432,1.03226133088905,3.0686564400639327e-13
valid_SR,29,1.0386032604769708,1.03860326047748,5.091482790930968e-13
valid_SR,30,1.0485177853983558,1.04851778539847,1.141309269314661e-13
valid_SR,31,1.0631831846942226,1.06318318469466,4.374278717023117e-13
valid_SR,32,1.06599358556483,1.06599358556526,4.3010039973978564e-13
valid_SR,33,1.0687118206627373,1.06871182066247,2.673417043297377e-13
valid_SR,34,1.0731611271082455,1.07316112710825,4.440892098500626e-15
valid_SR,35,1.0767863920730305,1.07678639207323,1.9939605522267811e-13
valid_SR,36,1.08013293769926,1.08013293769953,2.6978419498391304e-13
valid_SR,37,1.0856353170783095,1.08563531707716,1.149524919696887e-12
valid_SR,38,1.086560920467568,1.08656092046828,7.120970479945754e-13
valid_SR,39,1.0881715478057994,1.08817154780576,3.930189507173054e-14
valid_SR,40,1.0917506204668168,1.09175062046716,3.432809592140984e-13
valid_SR,41,1.0929471550306322,1.09294715503,6.321609902215641e-13
valid_SR,42,1.0989180925569388,1.09891809256822,1.128119819782114e-11
valid_SR,43,1.1001506090158253,1.1001506090158,2.531308496145357e-14
valid_SR,44,1.1098984339358244,1.10989843393378,2.0443646775447633e-12
valid_SR,45,1.1139613870637572,1.11396138706426,5.027089855502709e-13
valid_SR,46,1.114261906490807,1.11426190649076,4.707345624410664e-14
valid_SR,47,1.1155391324464108,1.11553913244635,6.084022174945858e-14
valid_SR,48,1.1159945647307012,1.11599456473047,2.311484337269576e-13
valid_SR,49,1.1178630591268153,1.11786305912604,7.753797603982093e-13
valid_SR,50,1.1192577281650424,1.11925772816574,6.976641486744484e-13
test_SR,5,0.308754612714096,0.30875461271826,4.164002476159112e-12
test_SR,6,0.5593435477614493,0.55934354778104,1.9590662425628125e-11
test_SR,7,0.5632294413539859,0.563229441355303,1.3170575741128232e-12
test_SR,8,0.5858867253907848,0.585886725391336,5.512257317263902e-13
test_SR,9,0.5934144890364296,0.593414489035825,6.045164369083977e-13
test_SR,10,0.5998232579721243,0.599823257972424,2.9964919434632975e-13
test_SR,11,0.610605852135345,0.610605852142773,7.42794714625461e-12
test_SR,12,0.6146111019241157,0.614611101925345,1.2292389328649733e-12
test_SR,13,0.6176907592188294,0.619367131529035,0.001676372310205565
test_SR,14,0.6232052505834623,0.623205250585937,2.474687121889474e-12
test_SR,15,0.6527453912835179,0.652775809615614,3.0418332096049383e-05
test_SR,16,0.6515968808458364,0.651596880847215,1.3785639296770569e-12
test_SR,17,0.6438713538742924,0.643871353876069,1.7765788840051755e-12
test_SR,18,0.6696918003413931,0.669691800342418,1.0249578963339445e-12
test_SR,19,0.671473536192733,0.671473536192835,1.0202949596305189e-13
test_SR,20,0.676793496427346,0.676793496427417,7.105427357601002e-14
test_SR,21,0.6801400667958403,0.680140066795883,4.2743586448068527e-14
test_SR,22,0.6776469531260257,0.677646953125968,5.773159728050814e-14
test_SR,23,0.6798069686616153,0.679806968661588,2.731148640577885e-14
test_SR,24,0.6576681422529524,0.657668142252656,2.964295475749168e-13
test_SR,25,0.6691629375862655,0.669162937586261,4.551914400963142e-15
test_SR,26,0.669043952129543,0.669043952129846,3.029798634202052e-13
test_SR,27,0.6669815986573395,0.666981598657405,6.550315845288424e-14
test_SR,28,0.6677460481939936,0.667746048193971,2.2648549702353193e-14
test_SR,29,0.6674386233335555,0.667438623333824,2.6845192735436285e-13
test_SR,30,0.666745359886521,0.666745359886582,6.106226635438361e-14
test_SR,31,0.6523334530938295,0.652333453093944,1.1446399383885364e-13
test_SR,32,0.6632985485697948,0.663298548570385,5.901945598907332e-13
test_SR,33,0.6461712310357758,0.646171231035066,7.097655796428626e-13
test_SR,34,0.6521685791113903,0.652168579110958,4.3220982348657344e-13
test_SR,35,0.6526709243798282,0.652670924379436,3.922417946000678e-13
test_SR,36,0.6514083453427324,0.651408345347276,4.543587728278453e-12
test_SR,37,0.6206091847689045,0.620609184771535,2.630562434546846e-12
test_SR,38,0.6131190574200188,0.613119057421189,1.170175067954915e-12
test_SR,39,0.6311465150219112,0.631146515024003,2.0917712006962574e-12
test_SR,40,0.6188271012360654,0.618827101239594,3.5285108168636725e-12
test_SR,41,0.6189524976457687,0.618952497648322,2.5534019343353975e-12
test_SR,42,0.6254439832335007,0.625443983236446,2.9453106620280778e-12
test_SR,43,0.6169421095583628,0.61694210955801,3.5282887722587475e-13
test_SR,44,0.6292911109611597,0.629291110962658,1.4982459717316488e-12
test_SR,45,0.6329022308271166,0.632902230828539,1.4224177391497506e-12
test_SR,46,0.6283023541204279,0.628302354122885,2.4571455981003965e-12
test_SR,47,0.6217666631653014,0.621766663167906,2.6045832157706172e-12
test_SR,48,0.6244258121346835,0.624425812134106,5.775380174100064e-13
test_SR,49,0.618019308206923,0.618019308208191,1.2679857164243913e-12
test_SR,50,0.6175307659777232,0.617530765977717,6.106226635438361e-15
